drug_code,drug_name,tier,noise_pct,forecast_date,forecast_mean,lower_95,upper_95,model,horizon
M01AB,Diclofenac,1,14.8,2019-10-20,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2019-10-27,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2019-11-03,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2019-11-10,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2019-11-17,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2019-11-24,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2019-12-01,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2019-12-08,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2019-12-15,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2019-12-22,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2019-12-29,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AB,Diclofenac,1,14.8,2020-01-05,35.1,18.24,51.96,"ARIMA(0, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-10-20,21.46,8.63,34.28,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-10-27,22.52,9.12,35.93,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-11-03,24.92,11.19,38.64,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-11-10,25.79,12.0,39.59,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-11-17,26.38,12.56,40.21,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-11-24,26.68,12.86,40.51,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-12-01,26.86,13.03,40.69,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-12-08,26.95,13.12,40.78,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-12-15,27.0,13.17,40.83,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-12-22,27.03,13.2,40.86,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2019-12-29,27.05,13.21,40.88,"ARIMA(2, 0, 0)",short_term_12w
M01AE,Ibuprofen,1,15.4,2020-01-05,27.06,13.22,40.89,"ARIMA(2, 0, 0)",short_term_12w
N02BA,Aspirin,1,14.5,2019-10-20,17.89,4.88,30.89,"ARIMA(5, 1, 1)",short_term_12w
N02BA,Aspirin,1,14.5,2019-10-27,19.05,5.75,32.35,"ARIMA(5, 1, 1)",short_term_12w
N02BA,Aspirin,1,14.5,2019-11-03,18.78,5.35,32.22,"ARIMA(5, 1, 1)",short_term_12w
N02BA,Aspirin,1,14.5,2019-11-10,17.64,4.13,31.15,"ARIMA(5, 1, 1)",short_term_12w
N02BA,Aspirin,1,14.5,2019-11-17,20.28,6.5,34.07,"ARIMA(5, 1, 1)",short_term_12w
N02BA,Aspirin,1,14.5,2019-11-24,19.59,5.79,33.39,"ARIMA(5, 1, 1)",short_term_12w
N02BA,Aspirin,1,14.5,2019-12-01,19.48,5.62,33.34,"ARIMA(5, 1, 1)",short_term_12w
