drug_code,drug_name,tier,noise_pct,forecast_date,forecast_mean,lower_95,upper_95,model,horizon
M01AB,Diclofenac,1,14.8,2019-10-20,35.9,22.22,52.1,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2019-10-27,35.91,20.94,51.06,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2019-11-03,35.91,19.78,51.82,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2019-11-10,35.91,20.73,50.42,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2019-11-17,35.91,21.49,52.38,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2019-11-24,35.92,21.84,51.4,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2019-12-01,35.92,20.4,51.52,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2019-12-08,35.92,21.0,51.32,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2019-12-15,35.93,20.55,49.88,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2019-12-22,35.93,21.7,50.91,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2019-12-29,35.93,20.3,50.43,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-01-05,35.94,21.44,49.25,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-01-12,35.94,20.86,50.03,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-01-19,35.94,21.0,51.25,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-01-26,35.95,20.23,50.71,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-02-02,35.95,20.5,50.36,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-02-09,35.95,20.23,50.84,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-02-16,35.96,20.34,51.08,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-02-23,35.96,21.19,51.12,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-03-01,35.96,21.21,50.37,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-03-08,35.97,21.66,52.01,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-03-15,35.97,21.94,53.14,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-03-22,35.97,21.08,51.89,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-03-29,35.98,21.24,50.28,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-04-05,35.98,21.43,50.67,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-04-12,35.98,20.29,51.15,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-04-19,35.99,20.67,51.19,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-04-26,35.99,21.04,51.74,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-05-03,35.99,22.12,51.75,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-05-10,36.0,20.37,50.37,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-05-17,36.0,20.5,51.17,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-05-24,36.0,21.2,51.81,Prophet,long_term_52w
M01AB,Diclofenac,1,14.8,2020-05-31,36.01,20.89,50.86,Prophet,long_term_52w
